jobUrl,jobId,companyName,companyUrl,jobTitle,logoUrl,location,insights,postDate,isEasyApply,isPromoted,applicantCount,url,query,category,timestamp,isRemote,workplaceType
https://www.linkedin.com/jobs/view/3213587356/,3213587356,Alberta Investment Management Corporation (AIMCo),https://www.linkedin.com/company/280971/,"Analyst, Collateral Management",https://media-exp1.licdn.com/dms/image/C560BAQGTwozSqrCzDw/company-logo_100_100/0/1656685921559?e=1668038400&v=beta&t=pwUliuv7ahQk6Sm65JJLBIAzwysmkE2FjTtDM4YJCEY,"Edmonton, AB",1 connection works here,,false,true,0,https://www.linkedin.com/jobs/view/3213587356/,https://www.linkedin.com/jobs/search/?currentJobId=3210016323&f_TPR=r604800&geoId=101174742&keywords=data%20analyst&location=Canada&refresh=true,Jobs,2022-08-10T04:52:23.345Z,,
https://www.linkedin.com/jobs/view/3213739885/,3213739885,Square,https://www.linkedin.com/company/675562/,"Talent Data Analyst, Square",https://media-exp1.licdn.com/dms/image/C4E0BAQHikN6EXPd23Q/company-logo_100_100/0/1595359131127?e=1668038400&v=beta&t=PfAveHaMXa2oMAgBnrlyUM2vw1KVQv0-8ioWtbd3odM,"Edmonton, AB",Actively recruiting,2022-08-09,false,false,0,https://www.linkedin.com/jobs/view/3213739885/,https://www.linkedin.com/jobs/search/?currentJobId=3210016323&f_TPR=r604800&geoId=101174742&keywords=data%20analyst&location=Canada&refresh=true,Jobs,2022-08-10T04:52:23.345Z,,
https://www.linkedin.com/jobs/view/3209739501/,3209739501,Procom,https://www.linkedin.com/company/8235/,Data Analyst,https://media-exp1.licdn.com/dms/image/C4E0BAQFyC83Q4C6XGQ/company-logo_100_100/0/1629146632268?e=1668038400&v=beta&t=pL7J6N9IHzBiJ3EFndYKent_AhJbLHluiy53Q2jH_J4,"Mississauga, ON",1 connection works here,2022-08-08,false,false,0,https://www.linkedin.com/jobs/view/3209739501/,https://www.linkedin.com/jobs/search/?currentJobId=3210016323&f_TPR=r604800&geoId=101174742&keywords=data%20analyst&location=Canada&refresh=true,Jobs,2022-08-10T04:52:23.345Z,,
https://www.linkedin.com/jobs/view/3211429217/,3211429217,Procom,https://www.linkedin.com/company/8235/,SQL Data Analyst - ACL/SAS Data Scripting,https://media-exp1.licdn.com/dms/image/C4E0BAQFyC83Q4C6XGQ/company-logo_100_100/0/1629146632268?e=1668038400&v=beta&t=pL7J6N9IHzBiJ3EFndYKent_AhJbLHluiy53Q2jH_J4,"Toronto, ON",1 connection works here,2022-08-09,false,false,0,https://www.linkedin.com/jobs/view/3211429217/,https://www.linkedin.com/jobs/search/?currentJobId=3210016323&f_TPR=r604800&geoId=101174742&keywords=data%20analyst&location=Canada&refresh=true,Jobs,2022-08-10T04:52:23.346Z,,
https://www.linkedin.com/jobs/view/3213743527/,3213743527,Square,https://www.linkedin.com/company/675562/,"Talent Data Analyst, Square",https://media-exp1.licdn.com/dms/image/C4E0BAQHikN6EXPd23Q/company-logo_100_100/0/1595359131127?e=1668038400&v=beta&t=PfAveHaMXa2oMAgBnrlyUM2vw1KVQv0-8ioWtbd3odM,"Victoria, BC",Actively recruiting,2022-08-09,false,false,0,https://www.linkedin.com/jobs/view/3213743527/,https://www.linkedin.com/jobs/search/?currentJobId=3210016323&f_TPR=r604800&geoId=101174742&keywords=data%20analyst&location=Canada&refresh=true,Jobs,2022-08-10T04:52:23.346Z,,
https://www.linkedin.com/jobs/view/3212547828/,3212547828,CGI,https://www.linkedin.com/company/1415/,Data Analyst,https://media-exp1.licdn.com/dms/image/C4E0BAQECzCQuU2D2qA/company-logo_100_100/0/1656669176089?e=1668038400&v=beta&t=Q2DTeTHZTZuH2ZFrjOmW8rTHp6eIOHS9l5p6utz-l74,"Calgary, AB",1 connection works here,2022-08-09,false,false,0,https://www.linkedin.com/jobs/view/3212547828/,https://www.linkedin.com/jobs/search/?currentJobId=3210016323&f_TPR=r604800&geoId=101174742&keywords=data%20analyst&location=Canada&refresh=true,Jobs,2022-08-10T04:52:23.346Z,,
https://www.linkedin.com/jobs/view/3203714784/,3203714784,Canadian Tire Corporation,https://www.linkedin.com/company/162883/,Data Analyst - Canadian Tire Corporation,https://media-exp1.licdn.com/dms/image/C4E0BAQEGdJ0AEAxBeA/company-logo_100_100/0/1649796288096?e=1668038400&v=beta&t=ZmduE1mvZBOwVfMkOZ7-ygUAAOGQs6Othz8khIKQ1UE,"Ontario, Canada",2 alumni work here,2022-08-08,false,false,0,https://www.linkedin.com/jobs/view/3203714784/,https://www.linkedin.com/jobs/search/?currentJobId=3210016323&f_TPR=r604800&geoId=101174742&keywords=data%20analyst&location=Canada&refresh=true,Jobs,2022-08-10T04:52:23.346Z,,
https://www.linkedin.com/jobs/view/3211102559/,3211102559,QuadReal Property Group,https://www.linkedin.com/company/10816608/,"Analyst, Research Global",https://media-exp1.licdn.com/dms/image/C4D0BAQFCmmjlg2LsUQ/company-logo_100_100/0/1519863624919?e=1668038400&v=beta&t=0EhZRK2qGxCCvV2H6oaDDcqhgAmiwxi9JeubC35jf3I,"Vancouver, BC",,,false,true,0,https://www.linkedin.com/jobs/view/3211102559/,https://www.linkedin.com/jobs/search/?currentJobId=3210016323&f_TPR=r604800&geoId=101174742&keywords=data%20analyst&location=Canada&refresh=true,Jobs,2022-08-10T04:52:23.346Z,,
https://www.linkedin.com/jobs/view/3210416464/,3210416464,Kainos,https://www.linkedin.com/company/17628/,Data Ethicist,https://media-exp1.licdn.com/dms/image/C4D0BAQEM08bUckLD2A/company-logo_100_100/0/1625482588871?e=1668038400&v=beta&t=Xe_bMx5gJDAvIpxk69HpQPmCFKFnjeH2NHKxNyzdHY4,"Toronto, ON",Actively recruiting,,false,true,0,https://www.linkedin.com/jobs/view/3210416464/,https://www.linkedin.com/jobs/search/?currentJobId=3210016323&f_TPR=r604800&geoId=101174742&keywords=data%20analyst&location=Canada&refresh=true,Jobs,2022-08-10T04:52:23.346Z,,
https://www.linkedin.com/jobs/view/3209300161/,3209300161,Canadian Blood Services,https://www.linkedin.com/company/18794/,"Analyst, Strategy",https://media-exp1.licdn.com/dms/image/C4D0BAQFf2WAnux7Kmw/company-logo_100_100/0/1538128615270?e=1668038400&v=beta&t=pgApecBZKQiLRx5bPzrKFzoO9BpmrtIbWsJ11Hsypi4,"Ottawa, ON",,,false,true,0,https://www.linkedin.com/jobs/view/3209300161/,https://www.linkedin.com/jobs/search/?currentJobId=3210016323&f_TPR=r604800&geoId=101174742&keywords=data%20analyst&location=Canada&refresh=true,Jobs,2022-08-10T04:52:23.346Z,,
