jobUrl,jobId,companyName,companyUrl,jobTitle,logoUrl,location,insights,postDate,isEasyApply,isPromoted,applicantCount,url,query,category,timestamp,isRemote,workplaceType,data_analyst
https://www.linkedin.com/jobs/view/3211427317/,3211427317,Procom,https://www.linkedin.com/company/8235/,Data Analyst,https://media-exp1.licdn.com/dms/image/C4E0BAQFyC83Q4C6XGQ/company-logo_100_100/0/1629146632268?e=1668038400&v=beta&t=pL7J6N9IHzBiJ3EFndYKent_AhJbLHluiy53Q2jH_J4,"Mississauga, ON",1 connection works here,2022-08-09,False,False,0,https://www.linkedin.com/jobs/view/3211427317/,https://www.linkedin.com/jobs/search/?currentJobId=3210016323&f_TPR=r604800&geoId=101174742&keywords=data%20analyst&location=Canada&refresh=true,Jobs,2022-08-10T04:52:23.344Z,,,True
https://www.linkedin.com/jobs/view/3213709079/,3213709079,"Global Technical Talent, an Inc. 5000 Company",https://www.linkedin.com/company/19241/,Data Analyst,https://media-exp1.licdn.com/dms/image/C4E0BAQGLY7wPGLzXMQ/company-logo_100_100/0/1519855977434?e=1668038400&v=beta&t=nJare3j9EcAqmc5StDmd8dfnr-inlMQdKtDGhwnNE7Q,"Dieppe, NB",Actively recruiting,2022-08-05,False,False,6,https://www.linkedin.com/jobs/view/3213709079/,https://www.linkedin.com/jobs/search/?currentJobId=3210016323&f_TPR=r604800&geoId=101174742&keywords=data%20analyst&location=Canada&refresh=true,Jobs,2022-08-10T04:52:23.345Z,True,,True
https://www.linkedin.com/jobs/view/3213739885/,3213739885,Square,https://www.linkedin.com/company/675562/,"Talent Data Analyst, Square",https://media-exp1.licdn.com/dms/image/C4E0BAQHikN6EXPd23Q/company-logo_100_100/0/1595359131127?e=1668038400&v=beta&t=PfAveHaMXa2oMAgBnrlyUM2vw1KVQv0-8ioWtbd3odM,"Edmonton, AB",Actively recruiting,2022-08-09,False,False,0,https://www.linkedin.com/jobs/view/3213739885/,https://www.linkedin.com/jobs/search/?currentJobId=3210016323&f_TPR=r604800&geoId=101174742&keywords=data%20analyst&location=Canada&refresh=true,Jobs,2022-08-10T04:52:23.345Z,,,True
https://www.linkedin.com/jobs/view/3209739501/,3209739501,Procom,https://www.linkedin.com/company/8235/,Data Analyst,https://media-exp1.licdn.com/dms/image/C4E0BAQFyC83Q4C6XGQ/company-logo_100_100/0/1629146632268?e=1668038400&v=beta&t=pL7J6N9IHzBiJ3EFndYKent_AhJbLHluiy53Q2jH_J4,"Mississauga, ON",1 connection works here,2022-08-08,False,False,0,https://www.linkedin.com/jobs/view/3209739501/,https://www.linkedin.com/jobs/search/?currentJobId=3210016323&f_TPR=r604800&geoId=101174742&keywords=data%20analyst&location=Canada&refresh=true,Jobs,2022-08-10T04:52:23.345Z,,,True
https://www.linkedin.com/jobs/view/3211429217/,3211429217,Procom,https://www.linkedin.com/company/8235/,SQL Data Analyst - ACL/SAS Data Scripting,https://media-exp1.licdn.com/dms/image/C4E0BAQFyC83Q4C6XGQ/company-logo_100_100/0/1629146632268?e=1668038400&v=beta&t=pL7J6N9IHzBiJ3EFndYKent_AhJbLHluiy53Q2jH_J4,"Toronto, ON",1 connection works here,2022-08-09,False,False,0,https://www.linkedin.com/jobs/view/3211429217/,https://www.linkedin.com/jobs/search/?currentJobId=3210016323&f_TPR=r604800&geoId=101174742&keywords=data%20analyst&location=Canada&refresh=true,Jobs,2022-08-10T04:52:23.346Z,,,True
https://www.linkedin.com/jobs/view/3213743527/,3213743527,Square,https://www.linkedin.com/company/675562/,"Talent Data Analyst, Square",https://media-exp1.licdn.com/dms/image/C4E0BAQHikN6EXPd23Q/company-logo_100_100/0/1595359131127?e=1668038400&v=beta&t=PfAveHaMXa2oMAgBnrlyUM2vw1KVQv0-8ioWtbd3odM,"Victoria, BC",Actively recruiting,2022-08-09,False,False,0,https://www.linkedin.com/jobs/view/3213743527/,https://www.linkedin.com/jobs/search/?currentJobId=3210016323&f_TPR=r604800&geoId=101174742&keywords=data%20analyst&location=Canada&refresh=true,Jobs,2022-08-10T04:52:23.346Z,,,True
https://www.linkedin.com/jobs/view/3212547828/,3212547828,CGI,https://www.linkedin.com/company/1415/,Data Analyst,https://media-exp1.licdn.com/dms/image/C4E0BAQECzCQuU2D2qA/company-logo_100_100/0/1656669176089?e=1668038400&v=beta&t=Q2DTeTHZTZuH2ZFrjOmW8rTHp6eIOHS9l5p6utz-l74,"Calgary, AB",1 connection works here,2022-08-09,False,False,0,https://www.linkedin.com/jobs/view/3212547828/,https://www.linkedin.com/jobs/search/?currentJobId=3210016323&f_TPR=r604800&geoId=101174742&keywords=data%20analyst&location=Canada&refresh=true,Jobs,2022-08-10T04:52:23.346Z,,,True
https://www.linkedin.com/jobs/view/3203714784/,3203714784,Canadian Tire Corporation,https://www.linkedin.com/company/162883/,Data Analyst - Canadian Tire Corporation,https://media-exp1.licdn.com/dms/image/C4E0BAQEGdJ0AEAxBeA/company-logo_100_100/0/1649796288096?e=1668038400&v=beta&t=ZmduE1mvZBOwVfMkOZ7-ygUAAOGQs6Othz8khIKQ1UE,"Ontario, Canada",2 alumni work here,2022-08-08,False,False,0,https://www.linkedin.com/jobs/view/3203714784/,https://www.linkedin.com/jobs/search/?currentJobId=3210016323&f_TPR=r604800&geoId=101174742&keywords=data%20analyst&location=Canada&refresh=true,Jobs,2022-08-10T04:52:23.346Z,,,True
https://www.linkedin.com/jobs/view/3209376618/,3209376618,OPB (Ontario Pension Board),https://www.linkedin.com/company/521252/,Employer Data Analyst,https://media-exp1.licdn.com/dms/image/C560BAQHmvF3bxjXEuw/company-logo_100_100/0/1656620874205?e=1668038400&v=beta&t=SpidMSDjrReoI65SqrwkQNcEuO1mZH2Y7If1_B5SELw,"Toronto, ON",Your profile matches this job,2022-08-08,False,False,0,https://www.linkedin.com/jobs/view/3209376618/,https://www.linkedin.com/jobs/search/?currentJobId=3210016323&f_TPR=r604800&geoId=101174742&keywords=data%20analyst&location=Canada&refresh=true,Jobs,2022-08-10T04:52:23.346Z,,,True
https://www.linkedin.com/jobs/view/3213746183/,3213746183,Square,https://www.linkedin.com/company/675562/,"Talent Data Analyst, Square",https://media-exp1.licdn.com/dms/image/C4E0BAQHikN6EXPd23Q/company-logo_100_100/0/1595359131127?e=1668038400&v=beta&t=PfAveHaMXa2oMAgBnrlyUM2vw1KVQv0-8ioWtbd3odM,"Vancouver, BC",Actively recruiting,2022-08-09,False,False,0,https://www.linkedin.com/jobs/view/3213746183/,https://www.linkedin.com/jobs/search/?currentJobId=3210016323&f_TPR=r604800&geoId=101174742&keywords=data%20analyst&location=Canada&refresh=true,Jobs,2022-08-10T04:52:23.346Z,,,True
