jobUrl,jobId,companyName,jobTitle,logoUrl,companyUrl,location,workplaceType,insights,postDate,isEasyApply,isPromoted,applicantCount,url,query,category,timestamp,isRemote
https://www.linkedin.com/jobs/view/3529446115/,3529446115,Quantum Management Services Ltd.,Accounting Technician – Data Analyst,https://media.licdn.com/dms/image/C560BAQHW4Y9tPlk6pA/company-logo_100_100/0/1598369955104?e=1687392000&v=beta&t=gcqA8wJAhxDQQ5k1Rnq6WcDZoQUMLbJHeOq_KzPL4_s,https://www.linkedin.com/company/2264/,"Montreal, QC",On-site,Actively recruiting,,true,true,0,https://www.linkedin.com/jobs/view/3529446115/,https://www.linkedin.com/jobs/search/?currentJobId=3455269436&f_E=1%2C2%2C3&f_T=340&f_TPR=r604800&geoId=101174742&keywords=(%22data%20analyst%22)&location=Canada&refresh=true&sortBy=R,Jobs,2023-03-17T20:41:03.717Z,
https://www.linkedin.com/jobs/view/3365665909/,3365665909,GFL Environmental Inc.,HR Data Analyst,https://media.licdn.com/dms/image/C560BAQHXFb6rN7jqPQ/company-logo_100_100/0/1519907570234?e=1687392000&v=beta&t=VpYR7qNLgTPoBvWHaTRfbKc3kIsDmOOAuaWb_McyB04,https://www.linkedin.com/company/2193256/,"Vaughan, ON",On-site,2 alumni work here,,false,true,0,https://www.linkedin.com/jobs/view/3365665909/,https://www.linkedin.com/jobs/search/?currentJobId=3455269436&f_E=1%2C2%2C3&f_T=340&f_TPR=r604800&geoId=101174742&keywords=(%22data%20analyst%22)&location=Canada&refresh=true&sortBy=R,Jobs,2023-03-17T20:41:03.717Z,
https://www.linkedin.com/jobs/view/3521475195/,3521475195,WTW,Analyste Source de données sur les avantages sociaux,https://media.licdn.com/dms/image/C560BAQHY34t_9efoow/company-logo_100_100/0/1656617865714?e=1687392000&v=beta&t=eNaiLajlhozuylpEgxh9xSUEkDPfIRDt0BPTjW4TLeY,https://www.linkedin.com/company/3994/,"Montreal, QC",Remote,Actively recruiting,,false,true,17,https://www.linkedin.com/jobs/view/3521475195/,https://www.linkedin.com/jobs/search/?currentJobId=3455269436&f_E=1%2C2%2C3&f_T=340&f_TPR=r604800&geoId=101174742&keywords=(%22data%20analyst%22)&location=Canada&refresh=true&sortBy=R,Jobs,2023-03-17T20:41:03.718Z,true
https://www.linkedin.com/jobs/view/3521940432/,3521940432,Agoda,"Senior Data Analyst (Bangkok Based, relocation provided)",https://media.licdn.com/dms/image/C4D0BAQGBa_7QNZNwpw/company-logo_100_100/0/1656643826125?e=1687392000&v=beta&t=AQTBenC5IQ-mx4yNIfRRzuba4Lnl9wWMI8Y47EI0rJ4,https://www.linkedin.com/company/66719/,"Greater Montreal, QC",,Actively recruiting,,false,true,3,https://www.linkedin.com/jobs/view/3521940432/,https://www.linkedin.com/jobs/search/?currentJobId=3455269436&f_E=1%2C2%2C3&f_T=340&f_TPR=r604800&geoId=101174742&keywords=(%22data%20analyst%22)&location=Canada&refresh=true&sortBy=R,Jobs,2023-03-17T20:41:03.718Z,
https://www.linkedin.com/jobs/view/3492994174/,3492994174,CPP Investments | Investissements RPC,"Senior Analyst, Business Intelligence",https://media.licdn.com/dms/image/C560BAQE4Cmd3fjeXhQ/company-logo_100_100/0/1661720065333?e=1687392000&v=beta&t=vkqmxqzS2apRZrKIJw5h_JU7TLJmHyo6Y9BjKBsB7xs,https://www.linkedin.com/company/23230/,"Toronto, ON",Hybrid,1 alum works here,,false,true,0,https://www.linkedin.com/jobs/view/3492994174/,https://www.linkedin.com/jobs/search/?currentJobId=3455269436&f_E=1%2C2%2C3&f_T=340&f_TPR=r604800&geoId=101174742&keywords=(%22data%20analyst%22)&location=Canada&refresh=true&sortBy=R,Jobs,2023-03-17T20:41:03.718Z,
https://www.linkedin.com/jobs/view/3456830374/,3456830374,SII Canada,Data Analyst,https://media.licdn.com/dms/image/C560BAQFAYW5yLV2z7w/company-logo_100_100/0/1657897927853?e=1687392000&v=beta&t=DgropuV8pGkhbw1ONJxKncF4E7DgDhAGRsAHAiWkEH0,https://www.linkedin.com/company/6417574/,"Montreal, QC",Hybrid,Actively recruiting,,false,true,0,https://www.linkedin.com/jobs/view/3456830374/,https://www.linkedin.com/jobs/search/?currentJobId=3455269436&f_E=1%2C2%2C3&f_T=340&f_TPR=r604800&geoId=101174742&keywords=(%22data%20analyst%22)&location=Canada&refresh=true&sortBy=R,Jobs,2023-03-17T20:41:03.718Z,
https://www.linkedin.com/jobs/view/3347207604/,3347207604,ClinChoice,Biostatistician Intern- Canada,https://media.licdn.com/dms/image/C560BAQHTEVVkYtjPtg/company-logo_100_100/0/1600376019533?e=1687392000&v=beta&t=iA6ym6pK-6Dr-P1jNCn6_Uc_UC_eoovOOWZb7PQLeQQ,https://www.linkedin.com/company/68599811/,"Greater Toronto Area, Canada",On-site,Actively recruiting,,false,true,0,https://www.linkedin.com/jobs/view/3347207604/,https://www.linkedin.com/jobs/search/?currentJobId=3455269436&f_E=1%2C2%2C3&f_T=340&f_TPR=r604800&geoId=101174742&keywords=(%22data%20analyst%22)&location=Canada&refresh=true&sortBy=R,Jobs,2023-03-17T20:41:03.718Z,
https://www.linkedin.com/jobs/view/3487753215/,3487753215,Vention,Business Intelligence Analyst,https://media.licdn.com/dms/image/D4E0BAQHCHB3czHRHjw/company-logo_100_100/0/1667330366630?e=1687392000&v=beta&t=826_tN3akVMQmzdJO-DmL70l4tl17REcRtucGHjpebU,https://www.linkedin.com/company/10933992/,"Montreal, QC",On-site,Your profile matches this job,,false,true,0,https://www.linkedin.com/jobs/view/3487753215/,https://www.linkedin.com/jobs/search/?currentJobId=3455269436&f_E=1%2C2%2C3&f_T=340&f_TPR=r604800&geoId=101174742&keywords=(%22data%20analyst%22)&location=Canada&refresh=true&sortBy=R,Jobs,2023-03-17T20:41:03.718Z,
https://www.linkedin.com/jobs/view/3526089167/,3526089167,Money Mart Financial Services,"Data Analyst, Retail and Operations",https://media.licdn.com/dms/image/C4D0BAQE1CtV-m_HAuw/company-logo_100_100/0/1644554450306?e=1687392000&v=beta&t=y4oecd6jns4Hvq029WdieHPdeWG27dwFs94ta3TFu5M,https://www.linkedin.com/company/40845/,"Toronto, ON",Remote,,,false,true,0,https://www.linkedin.com/jobs/view/3526089167/,https://www.linkedin.com/jobs/search/?currentJobId=3455269436&f_E=1%2C2%2C3&f_T=340&f_TPR=r604800&geoId=101174742&keywords=(%22data%20analyst%22)&location=Canada&refresh=true&sortBy=R,Jobs,2023-03-17T20:41:03.718Z,true
https://www.linkedin.com/jobs/view/3522643126/,3522643126,ATB Financial,Data Analyst,https://media.licdn.com/dms/image/D560BAQHwyCb2MaMrLw/company-logo_100_100/0/1665942612018?e=1687392000&v=beta&t=wuBaa36YQRZ15qKhcjJURidEV8hV2LeOchXQY4jL47s,https://www.linkedin.com/company/12526/,"Calgary, AB",Hybrid,5 alumni work here,2023-03-14,true,false,0,https://www.linkedin.com/jobs/view/3522643126/,https://www.linkedin.com/jobs/search/?currentJobId=3455269436&f_E=1%2C2%2C3&f_T=340&f_TPR=r604800&geoId=101174742&keywords=(%22data%20analyst%22)&location=Canada&refresh=true&sortBy=R,Jobs,2023-03-17T20:41:03.718Z,
